Country,Continent,Region,Threatened_Mammals,Threatened_Birds,Threatened_Reptiles,Threatened_Amphibians,Threatened_Fishes,Threatened_Molluscs,Threatened_Other Inverts,Threatened_Plants,Threatened_Fungi,Threatened_Total,Animals_EX,Animals_EW,Animals_CR,Animals_EN,Animals_VU,Animals_NT,Animals_LR/cd,Animals_DD,Animals_LC,Animals_Total,Plants_EX,Plants_EW,Plants_CR,Plants_EN,Plants_VU,Plants_NT,Plants_LR,Plants_DD,Plants_LC,Plants_Total
 Ascension and Tris Saint Helena,Africa,Sub-Saharian Africa,4,21,2,0,14,1,14,44,0,100,28,0,11,20,25,11,0,62,478,635,8,2,27,6,11,1,0,5,18,78
Tanzania,Africa,Sub-Saharian Africa,37,50,34,61,175,11,114,602,0,1084,1,1,114,123,245,203,0,319,3439,4445,0,0,55,246,301,54,2,29,576,1263
Algeria,Africa,North Africa,14,14,8,3,40,10,26,18,0,133,2,1,15,36,64,55,0,123,891,1187,0,0,6,5,7,26,0,4,286,334
Angola,Africa,Sub-Saharian Africa,18,29,5,0,51,5,4,34,0,146,0,0,10,33,69,58,0,227,2418,2815,0,0,0,3,31,13,0,21,286,354
Benin,Africa,Sub-Saharian Africa,13,10,6,0,38,0,3,17,0,87,0,0,8,16,46,44,0,114,1610,1838,0,0,0,1,16,3,0,7,187,214
Botswana,Africa,Sub-Saharian Africa,10,14,0,0,2,0,0,2,0,28,0,0,4,6,16,29,0,12,999,1066,0,0,0,1,1,3,0,4,196,205
Burkina Faso,Africa,Sub-Saharian Africa,10,10,3,0,4,1,0,3,0,31,0,1,5,6,17,21,0,3,784,837,0,0,0,0,3,1,0,5,137,146
Burundi,Africa,Sub-Saharian Africa,14,15,0,1,17,4,3,8,0,62,0,0,7,13,34,43,0,33,1049,1179,0,0,2,2,4,2,1,3,173,187
Cameroon,Africa,Sub-Saharian Africa,44,27,12,56,119,11,16,491,0,776,0,0,52,106,127,82,0,218,2572,3157,1,0,88,132,271,61,2,19,318,892
Cape Verde,Africa,Sub-Saharian Africa,4,6,6,0,34,12,1,3,0,66,1,0,5,21,37,30,0,102,842,1038,0,0,0,0,3,0,0,0,36,39
Central African Republic,Africa,Sub-Saharian Africa,15,13,4,0,3,0,0,24,0,59,0,0,8,6,21,24,0,47,1373,1479,0,0,1,6,17,8,1,7,139,179
Chad,Africa,Sub-Saharian Africa,15,13,4,0,1,4,0,6,0,43,0,1,11,5,21,20,0,12,831,901,0,0,0,2,4,1,0,4,139,150
Comoros,Africa,Sub-Saharian Africa,5,14,5,0,9,0,73,7,0,113,0,0,7,19,80,111,0,85,1051,1353,0,0,2,3,2,0,0,0,59,66
Cote d'Ivoire ,Africa,Sub-Saharian Africa,30,21,7,14,57,3,3,113,0,248,0,0,14,36,85,101,0,153,1953,2342,2,0,2,22,89,15,1,8,206,345
Democratic Republic of Congo,Africa,Sub-Saharian Africa,34,39,7,10,92,43,10,113,0,348,0,0,30,68,137,96,0,437,3511,4279,2,0,9,25,79,30,3,26,347,521
Djibouti,Africa,Sub-Saharian Africa,8,11,1,0,18,1,56,3,0,98,0,0,4,12,79,130,0,98,1132,1455,0,0,0,1,2,0,0,0,43,46
Egypt,Africa,North Africa,19,14,12,0,52,0,56,3,0,156,1,1,5,27,121,141,2,145,1513,1956,0,0,2,1,0,0,0,4,218,225
Equatorial Guinea,Africa,Sub-Saharian Africa,24,7,7,5,42,0,5,88,0,178,0,0,9,30,51,39,0,122,1545,1796,0,0,1,21,66,22,0,3,122,235
Eritrea,Africa,Sub-Saharian Africa,12,17,6,0,24,1,57,4,0,121,0,0,9,14,94,141,0,105,1347,1710,0,0,0,1,3,5,0,2,87,98
Ethiopia,Africa,Sub-Saharian Africa,30,32,2,12,14,4,11,42,0,147,0,0,18,31,56,43,0,62,1351,1561,0,0,3,12,27,35,1,15,341,434
Gabon,Africa,Sub-Saharian Africa,20,7,5,3,71,0,3,162,0,271,0,0,9,31,69,39,0,179,1951,2278,0,0,6,35,121,36,1,11,208,418
Gambia,Africa,Sub-Saharian Africa,9,12,5,0,34,0,2,5,0,67,0,0,8,13,41,44,0,120,1461,1687,0,0,0,0,5,0,0,6,89,100
Ghana,Africa,Sub-Saharian Africa,20,20,7,11,56,0,5,120,0,239,0,0,12,30,77,81,0,145,2050,2395,0,0,3,21,96,13,1,14,229,377
Guinea,Africa,Sub-Saharian Africa,27,19,8,5,75,1,6,44,0,185,0,0,15,35,91,97,0,175,1921,2334,0,0,2,12,30,8,1,19,160,232
Guinea-Bissau,Africa,Sub-Saharian Africa,14,10,7,0,39,0,2,5,0,77,0,0,7,16,49,48,0,120,1448,1688,0,0,0,0,5,0,0,6,95,106
Kenya,Africa,Sub-Saharian Africa,27,42,11,11,72,19,67,230,0,479,2,0,43,54,152,188,2,235,2921,3597,0,0,18,72,140,51,1,15,457,754
Lesotho,Africa,Sub-Saharian Africa,3,7,0,0,1,0,3,4,0,18,0,0,0,5,9,12,0,2,349,377,0,0,0,1,3,1,0,1,92,98
Liberia,Africa,Sub-Saharian Africa,22,13,7,4,63,1,10,52,0,172,0,0,16,34,70,87,0,138,1688,2033,0,0,1,6,45,4,0,6,134,196
Libya,Africa,North Africa,11,6,6,0,32,0,4,3,0,62,0,1,5,17,37,29,0,63,665,817,0,0,1,0,2,1,0,1,153,158
Madagascar,Africa,Sub-Saharian Africa,120,35,139,141,108,35,87,609,0,1274,13,0,96,272,297,221,2,331,1851,3083,0,0,173,258,178,47,0,29,377,1062
Malawi,Africa,Sub-Saharian Africa,10,18,4,6,98,7,9,24,0,176,0,0,7,30,115,36,0,48,1375,1611,0,0,1,7,16,5,1,2,234,266
Mali,Africa,Sub-Saharian Africa,13,15,4,0,2,0,0,8,0,42,0,1,6,6,22,22,0,9,958,1024,0,0,0,3,5,3,0,14,155,180
Mauritania,Africa,Sub-Saharian Africa,18,16,6,0,43,0,3,0,0,86,0,1,11,19,56,49,0,133,1352,1621,0,0,0,0,0,0,0,0,76,76
Mauritius,Africa,Sub-Saharian Africa,7,10,10,0,20,29,90,90,0,256,44,0,16,34,116,119,2,111,1147,1589,2,0,64,16,10,0,0,0,83,175
Mayotte,Africa,Sub-Saharian Africa,1,3,7,0,7,0,69,0,0,87,5,0,1,12,74,105,0,63,931,1191,0,0,0,0,0,0,0,0,23,23
Morocco,Africa,North Africa,18,16,13,2,54,35,29,37,1,205,2,0,27,56,84,81,0,170,1342,1762,0,0,3,15,19,34,0,6,320,397
Mozambique,Africa,Sub-Saharian Africa,15,29,13,5,67,3,64,91,0,287,0,0,10,44,142,174,2,204,2645,3221,0,0,6,27,58,20,0,23,278,412
Namibia,Africa,Sub-Saharian Africa,15,30,5,1,33,0,4,27,0,115,1,0,10,24,54,46,0,113,1635,1883,0,0,3,3,21,11,0,8,317,363
Niger,Africa,Sub-Saharian Africa,13,11,2,0,4,1,0,3,0,34,0,1,7,5,19,22,0,5,718,777,0,0,0,0,3,0,0,2,118,123
Nigeria,Africa,Sub-Saharian Africa,30,22,12,13,71,1,16,197,0,362,0,1,17,42,106,75,0,152,2373,2766,0,0,16,31,150,27,2,12,320,558
Republic of the Congo,Africa,Sub-Saharian Africa,17,6,4,0,55,5,2,45,0,134,0,0,8,20,61,41,0,159,1939,2228,0,0,1,8,36,13,1,2,189,250
Reunion,Africa,Sub-Saharian Africa,5,6,0,0,13,17,71,17,0,129,18,0,6,20,86,101,0,88,1008,1327,0,0,9,6,2,0,0,1,42,60
Rwanda,Africa,Sub-Saharian Africa,24,18,0,2,7,0,4,8,0,63,1,0,12,10,33,36,0,18,986,1096,0,1,0,2,6,3,1,4,179,196
Sao Tom‚ and Principe,Africa,Sub-Saharian Africa,5,14,5,3,25,1,4,38,0,95,0,0,7,15,35,14,0,101,697,869,0,0,0,5,33,11,0,0,41,90
Senegal,Africa,Sub-Saharian Africa,18,17,8,0,55,10,3,12,0,123,0,1,13,26,72,62,0,165,1763,2102,0,0,0,2,10,3,0,12,194,221
Seychelles,Africa,Sub-Saharian Africa,6,12,11,6,22,36,284,62,0,439,21,0,80,151,146,123,2,96,1262,1881,2,0,17,12,33,8,0,0,64,136
Sierra Leone,Africa,Sub-Saharian Africa,22,15,8,3,56,3,5,66,0,178,0,0,10,32,70,82,0,152,1746,2092,0,0,5,11,50,9,1,13,175,264
Somalia,Africa,Sub-Saharian Africa,15,19,5,0,29,2,60,46,0,176,0,0,9,20,101,149,0,164,1894,2337,0,0,3,18,25,44,0,5,198,293
South Africa,Africa,Sub-Saharian Africa,27,48,21,18,108,22,180,146,0,570,5,0,63,121,240,171,2,297,2722,3621,0,3,30,41,75,44,4,34,461,692
South Sudan,Africa,Sub-Saharian Africa,12,19,3,0,0,0,0,15,0,49,0,0,5,9,20,21,0,21,1128,1204,0,0,0,1,14,7,1,4,122,149
Sudan,Africa,Sub-Saharian Africa,13,23,5,0,26,0,50,16,0,133,0,1,11,14,92,134,0,115,1909,2276,0,0,1,3,12,5,1,4,250,276
Swaziland,Africa,Sub-Saharian Africa,8,11,0,0,4,0,0,11,0,34,0,0,3,6,14,17,0,7,747,794,0,1,2,3,6,3,1,2,120,138
Togo,Africa,Sub-Saharian Africa,12,11,5,2,35,0,3,12,0,80,0,0,10,16,42,46,0,112,1682,1908,0,0,0,1,11,2,0,3,174,191
Tunisia,Africa,North Africa,14,10,6,1,39,6,12,7,0,95,11,0,11,26,51,45,0,91,820,1055,0,0,4,2,1,18,0,3,212,240
Uganda,Africa,Sub-Saharian Africa,28,27,3,2,60,13,11,52,0,196,1,0,48,27,69,66,0,122,1775,2108,0,0,6,6,40,15,1,13,332,413
Western Sahara,Africa,North Africa,10,4,1,0,31,0,3,0,0,49,0,1,4,13,32,33,0,109,846,1038,0,0,0,0,0,0,0,0,23,23
Zambia,Africa,Sub-Saharian Africa,13,18,2,0,20,13,1,20,0,87,0,0,9,20,38,42,0,74,1743,1926,0,0,1,5,14,13,0,14,274,321
Zimbabwe,Africa,Sub-Saharian Africa,10,17,4,7,3,0,5,17,0,63,0,0,7,12,27,31,0,24,1270,1371,0,0,0,5,12,10,0,1,265,293
Antarctica,Antarctica,Antarctica,2,4,0,0,0,0,0,0,0,6,0,0,0,2,4,6,0,28,82,122,0,0,0,0,0,0,0,0,1,1
Bouvet Island,Antarctica,Antarctica,1,1,0,0,1,0,0,0,0,3,0,0,0,1,2,0,0,5,37,45,0,0,0,0,0,0,0,0,2,2
French Southern Territories,Antarctica,Antarctica,3,13,4,0,5,0,0,0,0,25,1,0,3,10,12,8,0,40,574,648,0,0,0,0,0,0,0,0,5,5
Heard Island and McDonald Islands  ,Antarctica,Antarctica,1,10,0,0,1,0,0,0,0,12,0,0,0,5,7,3,0,9,55,79,0,0,0,0,0,0,0,0,2,2
South Georgia and the South Sandwich Islands,Antarctica,Antarctica,3,6,0,0,0,0,0,0,0,9,0,0,0,5,4,6,0,15,126,156,0,0,0,0,0,0,0,0,2,2
Afghanistan,Asia,West & Central Asia,11,17,1,1,5,0,2,5,0,42,0,0,4,9,24,26,0,15,549,627,0,0,1,2,2,7,0,7,241,260
Armenia,Asia,West & Central Asia,9,15,7,0,3,2,7,71,0,114,0,0,5,9,29,37,0,16,449,545,0,0,18,40,13,11,0,24,155,261
Azerbaijan,Asia,West & Central Asia,8,18,9,1,12,2,5,42,0,97,0,1,13,8,34,41,0,37,549,683,0,0,7,17,18,15,0,13,169,239
Bahrain,Asia,West & Central Asia,3,6,4,0,10,0,13,0,0,36,0,0,2,6,28,53,0,23,503,615,0,0,0,0,0,0,0,0,21,21
Bangladesh,Asia,South & Southeast Asia,36,36,23,1,27,0,7,21,0,151,0,1,15,40,75,79,0,84,1369,1663,0,0,5,7,9,5,0,9,332,367
Bhutan,Asia,South & Southeast Asia,25,20,3,1,3,0,1,18,0,71,0,0,7,13,33,41,0,6,691,791,0,0,3,8,7,3,0,7,248,276
British Indian Ocean Territory,Asia,South & Southeast Asia,0,0,2,0,13,0,69,1,0,85,0,0,1,8,75,106,2,51,836,1079,0,0,0,0,1,0,0,0,13,14
Brunei Darussalam,Asia,South & Southeast Asia,33,25,8,3,12,0,8,104,0,193,0,0,6,18,65,135,0,76,1110,1410,0,0,38,26,40,25,4,3,107,243
Cambodia,Asia,South & Southeast Asia,38,28,20,8,47,1,78,35,0,255,0,0,23,49,148,174,0,175,1780,2349,0,0,8,17,10,13,0,10,299,357
China,Asia,East Asia,74,93,43,87,133,15,61,573,1,1080,4,1,79,146,281,236,1,936,3667,5351,3,1,97,245,231,84,4,134,916,1715
Cyprus,Asia,West & Central Asia,6,7,5,0,24,1,11,18,0,72,0,0,4,21,29,33,0,60,618,765,0,0,6,3,9,4,0,8,159,189
Democratic People's Republic of Korea,Asia,East Asia,10,28,2,1,17,0,3,17,0,78,1,0,5,15,41,36,0,77,626,801,0,0,1,11,5,3,0,14,164,198
Disputed Territory,Asia,South & Southeast Asia,0,0,0,0,3,0,1,0,0,4,0,0,0,1,3,1,0,20,698,723,0,0,0,0,0,0,0,0,3,3
Georgia,Asia,West & Central Asia,9,15,7,1,11,4,11,61,1,120,0,0,7,10,41,46,0,21,562,687,0,0,9,15,37,10,0,13,231,315
Hong Kong,Asia,East Asia,3,21,5,5,13,1,7,9,0,64,0,0,7,16,32,31,1,77,645,809,0,0,3,2,4,5,0,2,94,110
India,Asia,South & Southeast Asia,92,87,54,75,222,7,128,387,0,1052,0,0,75,205,385,341,2,769,3698,5475,6,2,77,172,138,43,1,77,919,1435
Indonesia,Asia,South & Southeast Asia,187,154,33,32,159,6,284,427,0,1282,2,0,83,193,579,565,4,939,4786,7151,1,1,126,88,213,98,9,83,633,1252
Iraq,Asia,West & Central Asia,14,18,3,1,17,1,16,2,0,72,0,0,6,14,50,70,0,33,783,956,0,0,0,2,0,1,0,6,183,192
Islamic Republic of Iran,Asia,West & Central Asia,18,27,14,4,43,2,22,4,0,134,0,1,15,25,90,102,0,132,1334,1699,0,0,0,3,1,5,0,16,297,322
Israel,Asia,West & Central Asia,15,18,10,2,45,11,63,10,0,174,4,0,13,39,112,142,0,121,1376,1807,0,0,1,6,3,3,0,5,171,189
Japan,Asia,East Asia,28,45,14,20,77,33,138,47,2,404,13,0,29,94,232,246,3,451,2617,3685,0,0,13,20,14,17,0,28,401,493
Jordan,Asia,West & Central Asia,13,13,6,0,15,6,55,5,0,113,0,0,5,20,83,124,0,70,1052,1354,0,0,0,2,3,2,0,3,124,134
Kazakhstan,Asia,West & Central Asia,16,27,1,1,14,2,5,16,0,82,0,1,13,14,39,37,0,45,665,814,0,0,5,8,3,3,0,23,251,293
Kuwait,Asia,West & Central Asia,6,11,4,0,15,0,13,0,0,49,1,0,1,10,38,56,0,27,602,735,0,0,0,0,0,0,0,0,22,22
Kyrgyzstan,Asia,West & Central Asia,5,16,2,0,3,0,4,14,0,44,0,0,1,7,22,23,0,8,409,470,0,0,6,6,2,4,0,15,153,186
Lao People's Democratic Republic  ,Asia,South & Southeast Asia,45,24,18,5,55,16,5,41,0,209,1,0,28,51,89,94,0,214,1448,1925,0,0,8,16,17,15,0,23,323,402
Lebanon,Asia,West & Central Asia,10,12,8,0,28,9,8,11,0,86,0,0,5,27,43,41,0,60,693,869,0,0,1,7,3,3,0,6,204,224
Macao,Asia,East Asia,0,4,1,0,5,0,1,0,0,11,0,0,1,2,8,4,0,6,149,170,0,0,0,0,0,0,0,0,27,27
Malaysia,Asia,South & Southeast Asia,72,53,31,48,83,37,227,720,0,1271,1,0,60,106,385,399,3,377,3139,4470,2,1,198,117,405,91,110,55,675,1654
Maldives,Asia,South & Southeast Asia,2,0,3,0,24,0,46,0,0,75,0,0,2,12,61,92,2,78,1062,1309,0,0,0,0,0,0,0,0,36,36
Mongolia,Asia,East Asia,11,25,0,0,2,0,3,0,0,41,0,0,4,12,25,28,0,8,509,586,0,0,0,0,0,1,0,9,188,198
Myanmar,Asia,South & Southeast Asia,48,52,30,2,51,3,74,61,0,321,0,0,23,70,167,268,3,404,2757,3692,0,0,16,24,21,22,0,33,518,634
